主题,子主题,公司,业绩,归母同比,归母环比,归母上年同期(亿),扣非同比,扣非环比,扣非上年同期(亿),主营业务,原因,舆论,是否最新,是否关注
其他产业链,,国泰海通（601211）~5500亿,🟢 同向上升,+27% ~ +30%（含负商誉）,+113% ~ +121%,157.37,+164% ~ +171%,+64% ~ +71%,—,证券及金融服务（经纪、投行、资管、自营投资）,换股吸收合并效应持续释放，通道业务全线环比增长，双创直投和产业基金贡献重大投资收益,22家机构一致预期（截至2026-07-03）2026年净利润275.91亿，EPS 1.57元。焦点：合并后资产规模行业第一，双创直投收益占Q2利润超50%,最新披露,
其他产业链,,华峰化学（002064）~512亿,同向上升,+70.85% ~ +111.53%,+51% ~ +111%,9.83,—,—,—,氨纶纤维、聚氨酯原液、己二酸等聚氨酯制品材料,原材料价格上涨推动产品价格上升，优化运营管理，募投项目效益逐步释放，整体盈利能力增强,16家机构一致预期（截至2026-06-15）2026年净利润30.06亿，EPS 0.61元。焦点：化工景气周期+新材料产能释放,,
AI 硬件产业链,光通信,长进光子（688635）~494亿,略增,+12.34% ~ +21.74%,-7.7% ~ +8.4%,0.34,—,—,—,受益下游先进制造、光通信需求释放，核心产品掺稀土光纤销量增长，驱动营收和净利润稳健增长,暂无机构覆盖（2026年5月科创板上市）,,
机器人产业链,,金力永磁（300748）~460亿,同向上升,+31.17% ~ +50.84%,+7.3% ~ +38.3%,3.05,+57.26% ~ +82.90%,+9.1% ~ +43.2%,2.34,巩固新能源及节能环保领域优势，积极开拓新兴市场；机器人及工业伺服电机收入同比增长约90%，营收预计同比增长约30%,9家机构一致预期（截至2026-06-24）2026年净利润9.60亿，EPS 0.70元。焦点：机器人电机转子已小批量交付，稀土永磁受益AI/机器人双轮驱动,最新披露,
机器人产业链,,三瑞智能（301696）~415亿,同向上升,+51.63% ~ +89.07%,-13.1% ~ +33.1%,1.60,+52.26% ~ +91.46%,-13.6% ~ +34.4%,1.53,无人机动力系统和机器人动力系统行业向好，下游市场持续拓展，全品类协同发展，一体化动力系统业务增量贡献突出,暂无机构一致预期数据（2026年4月上市次新股）。焦点：全球第三方程控无人机动力龙头，机器人关节模组国产替代稀缺卡位,最新披露,
其他产业链,,中金岭南（000060）~350亿,🟢 同向上升,+88% ~ +115%,+8% ~ +38%,5.59,+89% ~ +118%,—,5.43,铅锌铜等有色金属采矿、选矿、冶炼,主要产品金属价格同比上升，交易性金融资产公允价值变动收益同比上升，子公司权益比例同比上升,暂无机构一致预期数据。焦点：有色金属价格上行周期，铅锌铜多品种受益,最新披露,
AI 硬件产业链,光通信,杭电股份（603618）~339亿,🟢 同向上升,+852% ~ +958%,+245% ~ +295%,0.38,+1088% ~ +1221%,+263% ~ +315%,0.30,光纤光缆、电线电缆,光纤光缆市场回暖，光纤产品需求量价齐升，子公司杭州永特光纤销量随行业复苏同步增长,暂无机构一致预期数据。焦点：光纤光缆受益AI算力需求放量，半年涨5倍大牛股,最新披露,
其他产业链,,广汇能源（600256）~331亿,预增,+37.10% ~ +54.68%,+295.8% ~ +359.3%,8.53,+47.49% ~ +65.47%,+282.4% ~ +341.2%,8.34,精细化运营管控、生产装置稳定运行、降本控费提质增效，叠加能源市场供需改善及能化产品价格中枢抬升，经营业绩稳步修复,10家机构一致预期（截至2026-06-25）2026年净利润31.18亿，EPS 0.49元。焦点：Q2环比大幅改善，但Q1基数极低，煤油气价格回升持续性存疑,,
AI 硬件产业链,其他,中电港（001287）~300亿,🟢 同向上升,+176% ~ +193%,+116% ~ +135%,1.81,+186% ~ +203%,—,1.74,电子元器件分销、设计链服务、供应链协同配套,人工智能、数据中心、先进计算等领域需求强劲，存储器等核心产品价格持续上升，带动营业收入大幅攀升,暂无机构一致预期数据。焦点：央企电子元器件分销龙头，受益AI+存储涨价双轮驱动,最新披露,
其他产业链,,东方铁塔（002545）~250亿,同向上升,+81.87% ~ +106.19%,+23.1% ~ +53.0%,4.93,+83.83% ~ +108.84%,+20.5% ~ +50.3%,4.80,双主业生产基地保持稳定生产，产销量稳定；氯化钾、溴化钠等市场销售价格均价同比提升，盈利能力增强,5家机构一致预期（截至2026-06-30）2026年净利润16.14亿，EPS 1.30元；华金证券买入。焦点：老挝钾肥产能释放+钢结构双主业，受益钾肥价格中枢上移,最新披露,
其他产业链,,涛涛车业（301345）~243亿,同向上升,+51.95% ~ +63.64%,+95% ~ +118%,3.42,+52.16% ~ +63.97%,+98% ~ +120%,3.39,全地形车、电动滑板车、电动自行车等户外出行产品,持续加强海外产能建设，积极拓展销售渠道，不断提升品牌影响力，实现销售收入和利润双增,暂无机构一致预期数据。焦点：海外产能释放+全球化布局加速,,
新能源产业链,,永太科技（002326）~200亿,同向上升,+350.68% ~ +461.22%,+52.4% ~ +114.3%,0.59,+956.82% ~ +1245.45%,+86.2% ~ +164.3%,0.23,受益新能源汽车及储能市场需求增长，六氟磷酸锂、LiFSI、VC及电解液等锂电材料核心产品销量与价格同比提升，新投产VC产能稳步释放,暂无机构一致预期数据（扭亏初期）；获宁德时代9万吨VC长单（2027-2029）和47万吨电解液长单。焦点：锂电材料周期反转，宁德长单锁定未来收入,,
其他产业链,,东岳硅材（300821）~200亿,🟢 同向上升,+905% ~ +952%,+19% ~ +29%,0.42,+934% ~ +978%,+15% ~ +25%,0.45,有机硅单体及深加工产品,有机硅产品价格上涨，原材料采购价格下降，毛利率提升，精细化管理有效控制成本费用,暂无机构一致预期数据（周期股，机构关注度有限）。焦点：有机硅周期反转，Q1已实现归母1.94亿（+427%）,最新披露,
其他产业链,,大连重工（002204）~200亿,🟢 同向上升,+12% ~ +23%,—,3.12,+6% ~ +19%,—,2.65,物料搬运设备、新能源设备（风电等）,营业收入预计实现80亿元左右（+7.6%），物料搬运设备与新能源设备毛利同比增长带动整体利润增长,暂无机构一致预期数据。焦点：装备制造业稳健增长，新能源设备贡献增量毛利,最新披露,
其他产业链,,宁波华翔（002048）~180亿,扭亏为盈,+263% ~ +285%,+23% ~ +53%,亏损（上期-3.74亿）,-18.28% ~ -3.27%,+65% ~ +114%,6.0,上年同期处置欧洲/北美资产产生一次性损失约10.3亿，本报告期无此影响；但扣非仍下降，主营业务承压,5家机构关注（截至2026-06-26）；中金（2026-04-28）跑赢行业，目标价39元，预测2026年净利12.83亿；国泰海通增持，目标价35.6元。焦点：机器人布局+资产出清后盈利修复逻辑，但扣非下降主业仍承压,,
机器人产业链,,雷赛智能（002979）~180亿,同向上升,+55% ~ +65%,+55.2% ~ +71.8%,1.19,+55% ~ +65%,+56.4% ~ +73.5%,1.16,下游自动化设备市场回暖，订单好转；积极落实降本增效经营策略，新兴业务放量，营收预计同比增长38%~42%,5家机构关注；国金证券（2026-04-23）买入，预测2026年归母净利3.0亿/2027年3.8亿。焦点：智能装备运动控制龙头，机器人第二增长曲线确立,最新披露,
AI 硬件产业链,计算,星网锐捷（002396）~180亿,同向上升,+46.27% ~ +102.90%,+633% ~ +956%,2.12,+11.76% ~ +64.98%,+887% ~ +1366%,1.87,ICT基础设施与AI应用方案（企业级网络设备等）,子公司面向互联网客户的数据中心交换机业务大幅增长，产业基金公允价值增加及股权转让收益增加,1家机构一致预期（截至2026-06-30）2026年净利润8.87亿，EPS 1.16元；华泰证券（2026-03-29）买入，目标价34.82元。焦点：数据中心交换机受益AI算力需求放量,,
其他产业链,,百润股份（002568）~164亿,同向上升,+19.51% ~ +25.94%,+14% ~ +26%,3.89,+22.99% ~ +29.17%,+10% ~ +20%,3.56,酒类产品业务及香精香料业务销售收入同比增长，净利润相应增加,暂无机构一致预期数据；联合资信维持AA评级，展望稳定。焦点：国产威士忌布局获市场关注,,
其他产业链,,盛达资源（000603）~145亿,预增,+399.31% ~ +470.64%,+243% ~ +306%,0.70,+373.24% ~ +440.84%,+249% ~ +313%,0.74,全资子公司金山矿业2024年完成技改后产能释放，产销量增加，叠加贵金属价格上涨，推动业绩显著增长,5家机构一致预期（截至2026-06-23）2026年净利润13.99亿，EPS 2.04元。焦点：金山矿业技改产能释放叠加贵金属涨价，黄金业务持续放量,,
其他产业链,,中炬高新（600872）~132亿,同向上升,+51.84% ~ +67.41%,-51.7% ~ -36.5%,2.57,+21.71% ~ +44.53%,-66.1% ~ -41.0%,2.63,调味品业务持续增长，优化采购管理提升毛利率，费用管控有效实施,27家机构一致预期（截至2026-06-22）2026年净利润6.98亿，EPS 0.90元。焦点：改革见效业绩拐点确认，但Q2环比Q1明显回落，需关注增长持续性,,
其他产业链,,奥飞娱乐（002292）~120亿,同向上升,+305.30% ~ +413.38%,+74% ~ +147%,0.37,—,—,—,玩具及婴童用品、动漫影视制作与发行,主营业务市场拓展持续深化，产品订单及销售规模稳步扩大，带动营收同比增长，产品结构优化及费用管控提升,2家机构一致预期（截至2026-06-29）2026年净利润1.36亿，EPS 0.09元。焦点：IP全产业链运营，AI赋能IP开发打开商业化空间,,
其他产业链,,益生股份（002458）~117亿,同向上升,+4286.61% ~ +4774.01%,+62.1% ~ +91.3%,0.06,+7858.66% ~ +8749.56%,+61.5% ~ +90.7%,0.03,白羽肉鸡行业景气度上行，主营白羽肉鸡业务量价齐升，整体盈利水平显著提升,10家机构一致预期（截至2026-06-11）2026年净利润6.31亿，EPS 0.44元。焦点：白羽肉鸡周期反转，Q1扭亏为盈后Q2继续加速,,
新能源产业链,,孚日股份（002083）~106亿,同向上升,+50.02% ~ +70.27%,+5% ~ +32.2%,2.46,+44.49% ~ +63.54%,-1.1% ~ +24.7%,2.50,家纺主业稳健运营；电解液添加剂VC产品售价随行业中枢大幅上移，带动业务毛利率提升,2家机构一致预期（截至2026-06-30）2026年净利润6.72亿，EPS 0.71元。焦点：VC产业链估值最低标的，家纺+新能源双轮驱动,最新披露,
新能源产业链,,富祥股份（300497）~105亿,扭亏为盈,+2487% ~ +3204%,+69.6% ~ +150.5%,亏损（上期-0.07亿）,扭亏为盈,+67.2% ~ +149.3%,亏损（上期-0.32亿）,新能源业务成核心引擎：电解液添加剂VC/FEC量价齐增；医药制造稳健发展；微生物蛋白商业化提速，获中美双认证，进入欧洲主流商超,2家机构一致预期（截至2026-06-18）2026年净利润6.46亿，EPS 1.20元；华鑫证券（2026-03-27）买入。焦点：VC/FEC量价齐升实现扭亏为盈，微生物蛋白打开想象空间；但PE(TTM)高达2669倍、基金持仓仅0.80%,,
AI 硬件产业链,电源,富满微（300671）~71亿,扭亏为盈,+351.63% ~ +407.54%,+239% ~ +336%,亏损（上期-0.36亿）,扭亏为盈,+349% ~ +495%,亏损（上期-0.50亿）,深耕技术创新与产品迭代，推动产品结构优化，实现销售收入及净利润大幅增长,暂无机构覆盖（扭亏初期，市场关注度有限）,,
AI 硬件产业链,设备,臻宝科技（688797）~69亿,略增,+23.26% ~ +35%,+5.8% ~ +25.5%,0.85,+14.71% ~ +26.41%,+3.4% ~ +24.1%,0.85,半导体设备零部件市场需求增长，主要客户业务发展良好，经营规模持续增长，盈利能力稳步提升,新股上市暂无机构覆盖（2026-06-24挂牌科创板）,,
其他产业链,,银禧科技（300221）~66亿,同向上升,+82% ~ +95%,+26% ~ +42%,0.48,+45% ~ +58%,+38% ~ +59%,0.48,营收同比增长约18%，毛利率提升毛利额增加；子公司出售设备取得资产处置收益572万元,暂无机构覆盖（小市值公司，机构关注度低）,,
新能源产业链,,韶能股份（000601）~63亿,同向上升,+61.62% ~ +103.33%,+1262% ~ +1640%,0.96,+143.31% ~ +217.71%,扭亏为盈,0.54,清洁可再生能源业务推进源网荷储一体化发展，拓展绿电、储能、售电业务；精密制造降本增效，纸制品业务同比减亏,暂无机构一致预期数据。焦点：清洁能源业务增长强劲，生物质发电营收增超85%，Q2环比大幅改善（Q1基数极低）,最新披露,
其他产业链,,圣元环保（300867）~54亿,同向上升,+55% ~ +80%,-41% ~ -15%,1.15,+30% ~ +55%,-30% ~ +2%,1.05,精细化管理运营、炉渣资源化利用等实现主营业务收入增加及降本增效,3家机构一致预期（截至2026-06-17）2026年净利润3.73亿，EPS 1.38元,,
其他产业链,,华银电力（600744）~50亿,🔴 同向下降,-73% ~ -78%,Q2转亏,2.06,-76% ~ -80%,Q2转亏,2.05,火力发电、新能源发电,湖南省丰水期水力发电同比增长约45%，压缩火电和新能源发电空间，电力现货市场价格走低，火电容量电价前五月未完全体现支撑,暂无机构覆盖。焦点：水电挤压火电空间，Q2单季亏损约0.83~0.93亿,最新披露,
其他产业链,,华孚时尚（002042）~50亿,🟢 同向上升,+538% ~ +697%,+440% ~ +600%,0.25,扭亏为盈,扭亏为盈,亏损（上期-0.07亿）,色纺纱及新型纱线生产和销售,原材料棉花价格上涨带动订单恢复，扣非净利润实现扭亏为盈；投资收益约1.6亿增厚利润,暂无机构一致预期数据。焦点：棉价上涨+订单恢复，扣非扭亏确认拐点,最新披露,
其他产业链,,北纬科技（002148）~30亿,🟢 扭亏为盈,+228% ~ +260%,-33% ~ +8%,亏损（上期-0.03亿）,扭亏为盈,—,亏损（上期-0.07亿）,物联网连接服务、手机游戏,前期市场推广投入获取的用户价值逐步释放，存量用户持续贡献收入，费用与收入确认的时间差影响得到改善,暂无机构覆盖（小市值公司，机构关注度低）,最新披露,
其他产业链,,优彩资源（002998）~25亿,同向上升,+72.80% ~ +122.17%,+18.8% ~ +81.3%,0.41,+60.73% ~ +112.58%,+16.8% ~ +86.7%,0.39,上游原材料价格上涨传导，相关产品毛利率提升；优化运营管理，可转债募投项目效益逐步释放，整体盈利能力持续增强,暂无机构覆盖（小市值公司，机构关注度低）,最新披露,
